GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
6009,"Calaveras, CA",90,Manufacturing and information,40615,39363,39808,40638,41689,49615,54241,57695,61835,61171
6009,"Calaveras, CA",91,Private goods-producing industries 2/,152324,137363,136868,122681,127340,129168,128185,150196,168263,170846
6009,"Calaveras, CA",92,Private services-providing industries 3/,796829,843433,756508,781703,940769,1018790,1141068,1186646,1160650,1433669
6011,"Colusa, CA",1,All industry total,1203159,1361564,1248187,1380795,1188604,1462227,1445132,1374592,1655869,1678303
6011,"Colusa, CA",2,  Private industries,1061504,1214790,1099099,1222627,1024402,1290776,1263510,1191679,1469939,1494526
6011,"Colusa, CA",3,"    Agriculture, forestry, fishing and hunting",447331,405797,232942,314415,52999,127521,190346,131940,270929,229698
6011,"Colusa, CA",6,"    Mining, quarrying, and oil and gas extraction",35716,38441,26803,37040,34018,12944,10863,26214,45504,24583
6011,"Colusa, CA",10,    Utilities,30381,239574,310976,303588,308713,441470,372210,323704,394078,407812
6011,"Colusa, CA",11,    Construction,69542,20370,26283,21023,15592,15606,17347,19211,22708,37653
6011,"Colusa, CA",12,    Manufacturing,78229,79549,87413,107799,144799,178746,157882,156348,153991,166070
6011,"Colusa, CA",13,      Durable goods manufacturing,2408,2388,2210,3606,4337,5602,5745,11247,15126,14728
6011,"Colusa, CA",25,      Nondurable goods manufacturing,75822,77162,85203,104192,140462,173145,152136,145102,138865,151342
6011,"Colusa, CA",34,    Wholesale trade,81240,100751,107902,120273,121347,138505,127511,138994,151521,157438
6011,"Colusa, CA",35,    Retail trade,44469,43137,37770,41231,44053,49798,62359,65676,65036,64287
6011,"Colusa, CA",36,    Transportation and warehousing,(D),21195,17031,19422,21544,18094,17965,19700,20169,24867
6011,"Colusa, CA",45,    Information,(D),4100,4368,4601,3583,3520,3019,3458,6248,6648
6011,"Colusa, CA",50,"    Finance, insurance, real estate, rental, and leasing",168247,177107,166308,172637,196248,217365,222527,234684,257662,288654
6011,"Colusa, CA",51,      Finance and insurance,19518,20148,18618,18307,24777,28183,20896,22586,33641,22541
6011,"Colusa, CA",56,      Real estate and rental and leasing,148729,156959,147691,154329,171471,189182,201631,212098,224021,266113
6011,"Colusa, CA",59,    Professional and business services,18481,22947,20382,18374,16794,16171,17653,17320,17045,16988
6011,"Colusa, CA",60,"      Professional, scientific, and technical services",8022,9196,8575,6805,7871,7605,8003,8323,8750,9622
6011,"Colusa, CA",64,      Management of companies and enterprises,0,0,0,0,0,0,0,0,0,0
6011,"Colusa, CA",65,      Administrative and support and waste management and remediation services,10459,13751,11808,11570,8923,8566,9650,8997,8294,7366
6011,"Colusa, CA",68,"    Educational services, health care, and social assistance",26622,27422,26431,26460,27712,30351,19670,10356,18565,23025
6011,"Colusa, CA",69,      Educational services,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
6011,"Colusa, CA",70,      Health care and social assistance,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
6011,"Colusa, CA",75,"    Arts, entertainment, recreation, accommodation, and food services",19894,19794,20350,21950,22535,24516,27610,27461,29437,29168
6011,"Colusa, CA",76,"      Arts, entertainment, and recreation",1167,1072,1029,1053,1224,1392,1530,1463,1482,1442
6011,"Colusa, CA",79,      Accommodation and food services,18727,18723,19321,20897,21311,23125,26080,25998,27955,27726
6011,"Colusa, CA",82,    Other services (except government and government enterprises),15539,14606,14139,13814,14464,16167,16547,16613,17045,17635
6011,"Colusa, CA",83,Government and government enterprises,141655,146774,149087,158169,164201,171451,181622,182914,185929,183778
6011,"Colusa, CA",,Addenda:,,,,,,,,,,
6011,"Colusa, CA",87,Natural resources and mining,483046,444239,259745,351455,87017,140465,201209,158154,316434,254282
6011,"Colusa, CA",88,Trade,125709,143888,145672,161505,165400,188303,189870,204669,216558,221725
6011,"Colusa, CA",89,Transportation and utilities,(D),260769,328007,323010,330257,459564,390175,343404,414246,432679
